
=== Phong c├ích: Balanced Finisher / MMA Generalist ===
           Class A |            Class B |             Wins A |             Wins B |              Draws |              Total |             Win% A |             Win% B |              Draw% |         Diff (B-A)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 T├ón binh (Rookie) |  T├ón binh (Rookie) |                909 |                864 |                227 |               2000 |              51.3% |              48.7% |              11.3% |              -2.5%
 T├ón binh (Rookie) |   Kß╗│ cß╗▒u (Veteran) |                381 |               1477 |                142 |               2000 |              20.5% |              79.5% |               7.1% |              59.0%
 T├ón binh (Rookie) | Ng├┤i sao (Contender) |                130 |               1808 |                 62 |               2000 |               6.7% |              93.3% |               3.1% |              86.6%
 T├ón binh (Rookie) | Nh├á v├┤ ─æß╗ïch (Champion) |                 22 |               1956 |                 22 |               2000 |               1.1% |              98.9% |               1.1% |              97.8%
 T├ón binh (Rookie) | Huyß╗ün thoß║íi (Legend) |                  5 |               1988 |                  7 |               2000 |               0.3% |              99.7% |               0.4% |              99.5%
  Kß╗│ cß╗▒u (Veteran) |   Kß╗│ cß╗▒u (Veteran) |                884 |                915 |                201 |               2000 |              49.1% |              50.9% |              10.1% |               1.7%
  Kß╗│ cß╗▒u (Veteran) | Ng├┤i sao (Contender) |                412 |               1424 |                164 |               2000 |              22.4% |              77.6% |               8.2% |              55.1%
  Kß╗│ cß╗▒u (Veteran) | Nh├á v├┤ ─æß╗ïch (Champion) |                146 |               1753 |                101 |               2000 |               7.7% |              92.3% |               5.1% |              84.6%
  Kß╗│ cß╗▒u (Veteran) | Huyß╗ün thoß║íi (Legend) |                 57 |               1886 |                 57 |               2000 |               2.9% |              97.1% |               2.9% |              94.1%
Ng├┤i sao (Contender) | Ng├┤i sao (Contender) |                927 |                881 |                192 |               2000 |              51.3% |              48.7% |               9.6% |              -2.5%
Ng├┤i sao (Contender) | Nh├á v├┤ ─æß╗ïch (Champion) |                439 |               1376 |                185 |               2000 |              24.2% |              75.8% |               9.2% |              51.6%
Ng├┤i sao (Contender) | Huyß╗ün thoß║íi (Legend) |                253 |               1612 |                135 |               2000 |              13.6% |              86.4% |               6.8% |              72.9%
